"Episode Name","Episode Number","Synopsis"
"Move Along Home","S01E10","A Vulcan ship has made contact with a new species in the Gamma Quadrant, the Wadi, and Sisko and his senior officers don their dress uniforms to greet them when they arrive at DS9. But all the visitors are interested in is Quark's games. After a while the Wadi catch the Ferengi cheating. As a penalty, Sisko, Dax, Bashir and Kira are trapped inside a game world controlled by the Wadi, while Quark is watching helplessly, reacting to the game as they go, in an attempt to free the officers. When Quark thinks that the officers are lost because of his fault, the Wadi leader declares that it was all just a game."
"The Nagus","S01E11","Grand Nagus Zek, the head of all Ferengi, appears on the station to hold a conference on developing business relations with the Gamma Quadrant. During the meeting with Ferengi delegates the old leader announces his retirement and totally unexpectedly declares that he has chosen Quark as his successor. This causes a great deal of unease among the assembled high-ranking Ferengi. Zek dies the next day as it seems. Soon someone attempts to assassinate the new Nagus Quark with a locator bomb. While Odo is investigating the case, the two assassins, Quark's brother Rom and Zek's son Krax, plan to finish their business and to blow Quark out of an airlock. But Odo and Zek, who feigned his death, thwart the plan. Zek, now knowing that Krax is no worthy successor, decides to exploit the business opportunities in the Gamma Quadrant himself."
"Vortex","S01E12","While Quark is negotiating the sale of an alien ""Faberg̩ egg"" with Miradorn twins, a man from the Gamma Quadrant enters the room, attempts to steal the egg and eventually kills one of the twins. Odo, after capturing him, finds out that the alien named Croden is wanted on his homeworld Rakhar for previous crimes, but also discovers the man knows something about Odo's kind, the Changelings. Croden shows him an artifact that can morph into a different shape just like Odo and that may be something like a distant relative. During the transport to Rakhar the Miradorn's twin brother comes after the pair. They enter a nebula, where Croden allegedly found the artifact and even met Changelings in person. But once they have landed on an asteroid, Croden uses the artifact as a key to the stasis chamber in which he kept his daughter safe, the only member of his family who survived the persecution. Odo steers the runabout into a pocket of toh-maire gas, where the Miradorn ship explodes when it fires its weapons. He eventually decides to let Croden and his daughter go."
"Battle Lines","S01E13","The station receives an unannounced visit from Kai Opaka, the spiritual leader of Bajor, whom Sisko offered a tour of the station. Knowing that no ship would pass the wormhole on this day for Opaka to watch, he invites the Kai to travel through the wormhole on a runabout, together with him, Kira and Bashir. In the Gamma Quadrant they follow the trace of a subspace signal to a moon with a satellite network, where the runabout is shot down and Opaka dies in the crash. But some time later she is alive again, because of artificially created microbes that have restored her body functions. The moon is a prison, to which the Ennis and the Nol-Ennis were exiled and where they can carry on with their conflict forever, thanks to the microbes. Sisko gathers representatives of the two factions to start peace talks, with the hope of getting all of them off that moon, but it ends in another bloody skirmish. In the meantime Bashir has discovered that the microbes only work in the special environment on the moon, which means that also Opaka has to stay behind. But Opaka has already decided for herself that it is her destiny to stay. After Jadzia and O'Brien have managed to create a gap in the satellite network, just Sisko, Kira and Bashir are beamed up."
"The Storyteller","S01E14","The station is hosting a conference on a conflict between the Paqu and the Navot on Bajor that has broken out because the Cardassians redirected a river that was laid down as the border between the two. The leader of the Paqu is Varis Sul, a teenage girl that catches Nog's attention. He and Jake befriend the girl and contribute their share to the solution, which keeps the border as it is but allows the Paqu, who would otherwise be cut off, free access to the river. Meanwhile, Dr. Bashir and Chief O'Brien have been sent to Bajor for a medical emergency. The two discover that an entity composed of energy periodically attacks the village, and does so while the pair are there. Aiding the dying sirah, a ""storyteller"", O'Brien helps back away the strange phenomenon the locals call ""Dal'Rok"". After saving the village the locals proclaim O'Brien as their new sirah, angering Hovath, the old sirah's apprentice. The Dal'Rok is in reality a manifestation of the village's anger and can be defeated only with unanimity. When O'Brien fails during another attack of the Dal'Rok, the young Hovath, who was always meant to be the successor but lacked the necessary determination so far, successfully takes over the task."
"Progress","S01E15","The station is assisting the Bajoran government in an energy transfer, tapping the molten core of Bajor's fifth moon Jeraddo in an attempt to provide energy for the planet. The moon holds some settlers, so Kira and Dax are dispatched with a runabout to make sure the evacuation is complete before the transfer begins. Sensors pick up lifeforms. Kira beams down to find a group of three Bajoran farmers, who refuse to leave their homes. Among them is an older man named Mullibok, who invites Kira for supper. Kira returns without the farmers. When she beams down again to Jeraddo with two security officers, they are being attacked and one of them shoots Mullibok. Kira stays on Jeraddo to care about the injured man. But although she sympathizes with him, Kira eventually decides that there is no way back and destroys his house. On the station, Jake and Nog make a bargain with Cardassian yamok sauce that Quark just wanted to get rid of."
"If Wishes Were Horses","S01E16","Various manifestations of the crew's imagination come to life, such as the 21st century baseball player Buck Bokai, the fairy-tale character Rumpelstiltskin, a sensual version of Dax that so far existed only in Bashir's mind and other strange effects. The real Dax attributes the phenomena to a possible subspace rupture forming near the station, of a kind that destroyed a whole solar system in the 23rd century. As such an anomaly is actually discovered and an attempt is made to collapse it, the rupture widens and threatens to destroy the station. But Sisko recognizes that the anomaly is just another product of everyone's imagination. The whole scenario was set up by an alien race in an attempt to understand the concept of imagination."
"The Forsaken","S01E17","A group of pompous Federation ambassadors arrive on the station, proceeding with a fact-finding mission concerning the wormhole. Sisko has the foresight to assign Dr. Bashir to escort them about the station while he prefers to tend to business. Among the ambassadors is Lwaxana Troi who develops an interest for Odo. Shortly afterwards a probe comes through the wormhole and after data has been downloaded from there, the station begins to experience strange malfunctions. A turbolift with Odo and Lwaxana Troi gets stuck, and there is no way of getting them out before Odo has to return to his liquid state. Lwaxana, however, assures him that there is nothing to be embarrassed about. O'Brien finally recognizes that the program behaves like a ""puppy"" that wants to be entertained, and so instead of trying to eliminate it he transfers it from the main system to a subroutine he calls a ""doghouse""."
"Dramatis Personae","S01E18","Kira suspects that a Valerian freighter scheduled to dock at the station is delivering weapons to Cardassia as they did during the occupation. But Sisko refuses her request to search the ship. The wormhole opens, and a Klingon cruiser returning from the Gamma Quadrant explodes just after exiting. The vessel's first officer is able to beam aboard the station, but dies after cryptically uttering the phrase ""Victory!"". In the following, the officers begin to behave strangely, and they form two factions aboard the station, one in support of Major Kira and one remaining loyal to Captain Sisko. The situation escalates when the opposing camps scheme to eliminate one another. Odo and Bashir manage to remove the cause for the tensions, a telepathic matrix created by the Saltah'nans that made the crew as well as the Klingons re-enact an ancient power struggle."
"Duet","S01E19","A Kobheerian freighter docking at the station requests medical help for a passenger it is transporting. The passenger turns out to be a Cardassian named Marritza with a case of Kalla-Nohra Syndrome, a disease that was exclusively diagnosed in Gallitep, a former Cardassian labor camp on Bajor. Kira Nerys has Marritza placed under arrest and delves into his background. After visual evidence from the camp has been unearthed, the man has to admit he is Gul Darhe'el, the notorious commandant of Gallitep. But after Odo's further investigation it turns out that he really is Marritza, who served as a filing clerk in Gallitep. By altering his face and posing as one of the biggest war criminals in Bajoran history he wanted to make the case public and help alleviate Cardassia's and his own guilt. When Marritza is released and about to return to his home planet, a Bajoran appears from the crowd and stabs him - apparently just because Marritza is a Cardassian."
"In the Hands of the Prophets","S01E20","Keiko O'Brien is conducting class when Vedek Winn shows up and confronts her about her non-religious teachings. Using this as a platform Winn then calls for a boycott of the school and foments fervor against the Federation. Tensions between the Bajorans and Starfleet rise further, and a bomb destroys the classroom. In the meantime O'Brien is investigating the disappearance of his staff member Aquino, only to discover that he has been murdered by someone whom must have caught tampering with a runabout. O'Brien finds evidence that Neela, a Bajoran member of his staff, is the culprit. Vedek Bareil, Winn's rival in the election of the new Bajoran Kai, appears on the station, and Neela's attempt to kill him and escape with a runabout is foiled in the last moment. She was acting on behalf of Kai Winn, whose activities lured her opponent to the station. Yet, her involvement in the scheme remains unproven."
"The Homecoming","S02E01","Quark shows Major Kira an earring, a cue that Li Nalas, the greatest hero of the Bajoran Resistance, may still be alive in a Cardassian prisoner camp. She and O'Brien actually find Li on a secret site on Cardassia IV. But they have to leave some of the other Bajoran prisoners behind. Gul Dukat surprisingly apologizes for the existence of the camp and promises that all detainees be released soon. Meanwhile on Deep Space 9, an extremist Bajoran group named ""Alliance for Global Unity"" or simply ""The Circle"" demands that all aliens leave Bajor. In order to help pacify his people, Li Nalas, whose role in the fight against Cardassia is vastly overrated, reluctantly accepts his new position as ""navarch"" and liaison officer on Deep Space 9, while Minister Jaro recalls Kira to Bajor."
"The Circle","S02E02","Kira Nerys accepts Bareil's invitation to his monastery where she recognizes in an Orb vision that she has fallen in love with the vedek. When Odo, with the help of Quark, investigates weapon shipments from the Kressari to The Circle, he finds out that actually the Cardassians are responsible for the deal because they want to destabilize Bajor and take over the wormhole. On Bajor, Kira is anesthetized and kidnapped. When she wakes up, Minister Jaro reveals that he is the leader of The Circle. Sisko, Bashir and Li manage to free Kira and take her back to the station, while The Circle in the form of Jaro and Vedek Winn is preparing to seize power on Bajor and to attack the station - unbeknownst of the fact that everything is a Cardassian ploy."
"The Siege","S02E03","Most denizens of Deep Space 9 leave the station in a hurry in order to escape the imminent attack of the Bajoran military. Soon Bajoran forces arrive to take over the station, unaware that Commander Sisko and a small team of Starfleet officers are still hiding there together with Li Nalas. Kira and Dax embark an old Bajoran fighter craft to get to Bajor, but they are shot down above the planet. They are found by a search team sent by Bareil and proceed to the Bajoran Chamber of Ministers. When Kira tells the ministers about the Cardassian involvement, everyone, including Winn, turns against the shattered Jaro. In the meantime on Deep Space 9, Sisko and his crew have managed to convince General Krim of the occupation forces to retreat. Only Colonel Day refuses to leave. When the fanatic officer aims his phaser at Sisko, Li Nalas leaps into the line of fire and is fatally injured."
"Invasive Procedures","S02E04","During a plasma storm Deep Space 9 is manned only with a skeleton crew, when a transport ship sends a distress call and requests to dock. The Trill Verad, a woman named Mareel and the two Klingon mercenaries T'Kar and Yeto come aboard the station. They pull weapons, confine Odo to a stasis box, injure O'Brien and take everyone else hostage. Verad's plan is to get hold of the Dax symbiont. Under the threat that otherwise everyone would be killed, but knowing that it will likely kill Jadzia once the symbiont is removed, Dr. Bashir performs the procedure. Ben Sisko attempts to convince his new ""friend"" Verad Dax and later Verad's lover Mareel (who is disappointed about his change) to return the Dax symbiont. In the meantime Quark and Bashir get rid of their Klingon guard dogs and free Odo. When Verad leaves in a hurry and a struggle between his aides and the crew ensues, Sisko takes a phaser and fires at Verad - allowing Bashir to return the Dax symbiont to Jadzia who now hosts a part of Verad's memories and personality."
"Cardassians","S02E05","Garak makes the unpleasant acquaintance of Rugal, a Cardassian boy who has been raised by Bajorans and who now hates his own race. Gul Dukat insists to investigate the case, but Garak gives Dr. Bashir a cue that the boy, like other Cardassian orphans, was left behind on Bajor on Dukat's orders. Dukat later reveals that the boy is the son of Pa'Dar, an influential politician on Cardassia. Bashir and Garak take a shuttle to the orphanage on Bajor where any record about Rugal is missing. It turns out that Dukat deliberately separated the boy from his father and erased the evidence in the hopes of humiliating his political opponent. Sisko decides that, although the Bajoran foster father named Proka loves Rugal as if he were his own child, the boy should be returned to Pa'Dar."
"Melora","S02E06","The cartographer Ensign Melora Pazlar, an Elaysian who is used to very low gravity, arrives at the station. Although she needs a wheelchair to move in environments with nominal gravity, she insists on being treated like everyone else. But she experiences her limits when she drops to the floor and doesn't manage to get up until help arrives. Julian Bashir, who is romantically involved with the Elaysian, surprises Melora with the proposal to adapt her neuromuscular system to normal gravity, even though then she would have to give up her frequent ""flights"" in low gravity. When Fallit Kot, a sinister trade partner of Quark's, hijacks her and Dax's runabout, Melora saves the day when she deactivates the gravity generators and overwhelms Kot. She eventually decides to decline the proposed treatment."
"Rules of Acquisition","S02E07","Grand Nagus Zek has great news for Quark: The simple bar owner has been chosen to purchase tulaberry wine from the Dosi from the Gamma Quadrant, as a preparation for a large-scale trade agreement. When his Ferengi waiter Pel advises him to be cautious, Quark is impressed and assigns Pel to be his assistant. But Pel is actually a female, who is disguised as a man to escape the strict gender roles in the Ferengi society. The deal with the Dosi fails. However, Pel convinces Zek to let them further pursue their goals. With Zek's blessing, she and Quark head for the Gamma Quadrant where they learn of the Karemma who would bring the Ferengi in contact with the Dominion - which is ultimately more valuable than the wine. Back on the station, Quark faints when he is notified by Rom that Pel is a woman who loves him. When Pel reveals her gender to Zek as well, the Ferengi decide to remain silent about it - as it is outlawed for a businessman to take advice from a woman."
"Necessary Evil","S02E08","The Bajoran woman Vaatrik Pallra hires Quark to retrieve a strongbox hidden on the station during the Cardassian occupation. He and Rom sneak about on the promenade deck and find the box when a man named Trazko, obviously sent by Pallra, takes the list of names that was inside and shoots Quark. Odo questions Rom about the incident when he suddenly finds himself in a conversation with Gul Dukat, five years earlier on Terok Nor. At that time Pallra's husband Mr. Vaatrick, a shop owner, had been murdered, and Pallra suspected his alleged mistress, Kira Nerys. Back in the present, Rom remembers just one name from the list, which he thinks was Ches'so. But Pallra denies any knowledge of either the list or someone with that name. Yet, Odo is sure that she is blackmailing former collaborators like the said person, whose real name is Ches'sarro Seeto. Now Ches'saro has mysteriously died. Five years in the past, Odo interrogates Kira who has paid Quark in order to provide a false alibi for her. She says it was to cover up her sabotage of the ore processors. Odo lies to Dukat about this interrogation in order to save her life. Back in the present, Trazko attempts in vain to assassinate Quark, who is still in the infirmary. Odo, however, realizes that Kira did indeed kill Mr. Vaatrick because he was a collaborator and that it was her friends of the Resistance who exterminated Ches'saro."
"Second Sight","S02E09","On the fourth anniversary of the Battle of Wolf 359 in which his wife Jennifer died, Benjamin Sisko falls in love a woman named Fenna he encounters on the promenade deck. But Fenna suddenly runs away when the commander meets her a second time. The same night, he and his senior staff attend a dinner with Dr. Seyetik on the USS Prometheus. The famous scientist has developed a method to re-ignite dying stars in order to revive orbiting planets. Much to Sisko's surprise, Seyetik's wife Nidell looks exactly like Fenna, but she doesn't recognize the commander. He is even more taken aback to find Fenna, who says she knows nothing about Nidell, in his quarters, only to see her disappear after a passionate kiss. On their mission to a dead star Dax reveals that Fenna is composed of energy. She is just a projection created by Nidell, who is a psychoprojective telepath and obviously bored by her marriage with Seyetik. Stricken with guilt, the scientist takes a shuttle and commits suicide when he heads for the star, which he recuperates through his sacrifice. Nidell is now free; but Fenna, the part of her that loved Sisko, is gone."
"Sanctuary","S02E10","When a transport vessel entering through the wormhole breaks apart, its passengers are beamed to Deep Space 9. After the universal translator initially fails to provide a proper translation, it later becomes clear that the people from the Gamma Quadrant are Skrreeans who lost their home to a race called T-Rogorans and ultimately to the Dominion. There are three million more Skrreeans waiting on the far side of the ""Eye"", the wormhole, as their leader, a woman called Haneek explains. While Sisko has found an empty planet for the Skrreeans to settle down, Haneek is convinced that their lost home is Bajor. But the Bajorans refuse to let the refugees immigrate. Haneek's son Tumak takes a shuttle to Bajor that explodes due to a radiation leak when Bajoran fighters attempt to stop him. Shattered about the loss, Haneek gives in, but not without accusing the Bajorans of being apprehensive and mistrustful."
"Rivals","S02E11","While in Odo's holding cell, the notorious El-Aurian swindler Martus Mazur takes a gambling device from a dead fellow prisoner. So equipped, he opens a casino on the promenade deck when he is released. He gains the widow Roana and Quark's brother Rom as associates. Much to Quark's displeasure the ""Club Martus"" soon abounds with guests, who at some point all simultaneously win in the casino - whereas occurrences of bad luck are reported from everywhere on Deep Space 9. When Quark strikes back and wins O'Brien and Bashir for a charity racquetball match, something is strange. O'Brien, who normally wouldn't stand a chance, doesn't miss a single ball. It turns out that the gaming device is changing the probability for the neutron spin throughout the station. Commander Sisko rules that the devices have to be destroyed. Martus, however, has been duped himself by Roana, who has taken his earnings to invest them into a non-existent asteroid mining project."
"The Alternate","S02E12","Dr. Mora Pol, the scientist who took care of Odo after he was found (and the prototype for the shapeshifter's hairstyle), visits the station with a possible clue to Odo's origin. Odo, Mora, Dax and the Mora's assistant Dr. Weld take a runabout to a planet in the Gamma Quadrant where they locate a tiny lifeform that may be related to Odo. But then poisonous volcanic gases erupt, and only the seemingly unaffected Odo can save the rest of the away team. Back on Deep Space 9, the three injured scientists are taken to the infirmary. O'Brien carries on with the studies but then the science lab in which he keeps the lifeform is demolished, apparently by the lifeform itself which is missing. But a more detailed analysis of Dr. Mora comes to the conclusion that Odo must be the culprit. The security chief doesn't believe his mentor until he morphs into the violent creature. Shutting off the power on the station, the crew manages to capture Odo in a forcefield and remove the traces of the detrimental gas from his substance."
"Armageddon Game","S02E13","Aboard a T'Lani vessel, Dr. Bashir and Miles O'Brien assist the T'Lani and the Kellerun in the destruction of the Harvester, a biological agent that was used in the long war between the two planets. Suddenly two Kellerun soldiers enter the room and begin firing. The two Starfleet officers manage to beam down to the planet T'Lani III, but O'Brien has been infected with Harvester. Kellerun and T'Lani officials inform Deep Space 9 that the two officers are dead. But Keiko O'Brien notices an inconsistency in the security tape because she insists on her husband never drinking coffee in the late afternoon. In orbit of T'Lani Dax and Sisko discover that the shuttle log has been tampered with as well. Bashir and the ailing O'Brien work on sending a distress call, and they can be beamed up just when T'Lani and Kellerun soldiers have arrived to execute them because they know too much about the bioweapon. Sacrificing one of the two runabouts, the four Starfleet officers escape the T'Lani cruiser. Back on Deep Space 9 Miles O'Brien is puzzled about his wife's suspicion because he actually does drink coffee in the afternoon."
"Whispers","S02E14","When Chief O'Brien returns from a mission to the Paradas, everyone reacts strangely on him. His wife Keiko avoids intimacy, Bashir calls him for an unscheduled examination, crucial repairs on the station are carried out without him. He has no access to the station's logs for the time after his arrival, and his personal logs have been reviewed by someone else. When Odo returns from Bajor, O'Brien is glad to have a possible ally, but the security chief appears to be part of the conspiracy. When Kira attempts to disable O'Brien with a hypospray, he escapes to a runabout and heads to the Paradan homeworld. Witnessing a meeting of Paradan rebels with his fellow officers, he draws a phaser but is fatally wounded by a guard. Before he dies he learns that he is not the real O'Brien but a replicant who was created by the Paradas to kill someone on a conference to take place on Deep Space 9."
"Paradise","S02E15","On a survey mission in a runabout, Miles O'Brien and Benjamin Sisko discover an unknown human colony on a planet. They beam down, only to realize that a duonetic field obstructs the operation of all of their technical devices. Alixus, the leader of the colony, welcomes the two officers. When the two attempt to aid a woman who is dying of an ordinary insect bite by contacting their runabout, Alixus angrily insists on no technology being allowed on her planet. In the meantime, Kira and Dax find the unmanned runabout in open space. Alixus does everything to integrate the two officers into her society. When it becomes obvious that it is in vain, she locks up Sisko in a small box fully exposed to the sunlight. O'Brien, determined to overthrow her regime, finally finds the generator that creates the duonetic field and takes a phaser to free Sisko. The two take Alixus and her son with them, while the rest of the colonists decides to stay in spite of everything."
"Shadowplay","S02E16","On an unexplored planet in the Gamma Quadrant the Yaderan village administrator Colyus asks Dax and Odo to investigate the case of 22 people who have vanished. The two interview Taya, the granddaughter of Rurigan, one of the village's founders. She was the last to see her mother. Rurigan, however, says he believes no one will ever return. When Dax notices that a Yaderan scanning device disappears outside the village boundaries, and Taya's arm disappears as well, it is clear that the village is holographic. Dax shuts down the simulation to restart it later. Everything vanishes, and only Rurigan is still there. He recreated what he had lost when the Dominion took over Yadera Prime. He is ready to return to what is left of his homeworld, but Odo convinces him that the simulation may be just as real as he wants it to be."
"Playing God","S02E17","Arjin, a young Trill qualifying for receiving a symbiont is uneasy because it will be tough to fulfill the expectations of the famed Dax symbiont in the form of Jadzia Dax, who is going to train and assess him. But he is relieved to see how light-hearted the young woman is. The two discover a piece of protoplasm in a subspace pocket on the other side of the wormhole. They examine the matter in the station's science lab. Jadzia Dax ponders whether to go easy on Arjin or to be as blunt as Curzon Dax once was to her. She decides to do the latter, leaving Arjin angry and disappointed. Unfortunately Cardassian voles, rodents living on the station, damage the containment field. Now the protoplasm, which turns out to be a protouniverse containing life, is expanding. The only solution is to take it back to its origin which Dax and Arjin accomplish thanks to the young Trill's excellent piloting inside the wormhole - which gains him Dax's respect."
"Profit and Loss","S02E18","The Cardassian Professor Natima Lang, Quark's former lover, arrives at the station with two of her students for repairs on their vessel. She lies about the true cause for the damage on the ship which, in actuality, has been attacked by another Cardassian vessel. While Lang claims that they have fled Cardassia for political reasons, Garak insists on them being terrorists and urges Sisko to turn them over to the Cardassian authorities. Quark offers the students a cloaking device for their escape under the condition that Natima Lang stays behind. But Natima refuses. Meanwhile, in the course of a Bajoran-Cardassian prisoner exchange, Sisko is forced to extradite his three guests. They have been betrayed by Garak, who is now expected to kill them as a proof of his loyalty to Cardassia. But Garak kills the Cardassian officer Gul Toran instead and allows the three refugees to escape."
